name,handedness,height,weight,avg,HR,BMI,Class,,,,,BMI Limits,
Marc Hill,R,75,205,0.223,34,25.69333333,Hefty,,,,,,
Mike Vail,R,73,180,0.279,34,23.81309814,Compact,,,,,,
Glenn Adams,L,73,180,0.28,34,23.81309814,Compact,,,,,,
Todd Cruz,R,72,175,0.22,34,23.79918981,Compact,,,,,,
Mike Cubbage,L,72,180,0.258,34,24.47916667,Hefty,,,,,,
Tommy Helms,R,70,165,0.269,34,23.73979592,Compact,,,,,,
Ted Savage,R,73,185,0.233,34,24.47457309,Hefty,,,,,,
Walt Williams,R,66,165,0.27,33,26.70454545,Hefty,,,,,,
Terry Whitfield,L,73,197,0.281,33,26.06211297,Hefty,,,,,,
Jim Essian,R,74,195,0.244,33,25.10500365,Hefty,,,,,,
Bob Stinson,B,71,180,0.25,33,25.17357667,Hefty,,,,,,
Ed Ott,L,70,190,0.259,33,27.33673469,Hefty,,,,,,
Al Luplow,L,70,175,0.235,33,25.17857143,Hefty,,,,,,
Ivan Murrell,R,74,195,0.236,33,25.10500365,Hefty,,,,,,
Dave Collins,B,71,175,0.272,32,24.47431065,Hefty,,,,,,
Jesus Alou,R,74,190,0.28,32,24.46128561,Hefty,,,,,,
Mickey Brantley,R,70,180,0.259,32,25.89795918,Hefty,,,,,,
Clint Hurdle,L,75,195,0.259,32,24.44,Hefty,,,,,,
Joe Lis,R,72,175,0.233,32,23.79918981,Compact,,,,,,
Rowland Office,L,72,170,0.259,32,23.11921296,Compact,,,,,,
John Kennedy,R,72,185,0.225,32,25.15914352,Hefty,,,,,,
Ken Boswell,L,72,170,0.248,31,23.11921296,Compact,,,,,,
Chico Salmon,R,70,160,0.249,31,23.02040816,Compact,,,,,,
Dave Engle,R,75,210,0.262,31,26.32,Hefty,,,,,,
Mike Diaz,R,74,195,0.247,31,25.10500365,Hefty,,,,,,
Matty Alou,L,69,160,0.307,31,23.69250158,Compact,,,,,,
Joe Lefebvre,L,70,170,0.258,31,24.45918367,Hefty,,,,,,
Carl Warwick,R,70,170,0.248,31,24.45918367,Hefty,,,,,,
Manny Mota,R,70,160,0.304,31,23.02040816,Compact,,,,,,
David Green,R,75,170,0.268,31,21.30666667,Lanky,,,,,,
Leron Lee,L,72,196,0.25,31,26.65509259,Hefty,,,,,,
Fred Kendall,R,73,185,0.234,31,24.47457309,Hefty,,,,,,
Buck Rodgers,B,74,190,0.232,31,24.46128561,Hefty,,,,,,
Byron Browne,R,74,190,0.236,30,24.46128561,Hefty,,,,,,
Jack Brohamer,L,70,165,0.245,30,23.73979592,Compact,,,,,,
Von Joshua,L,70,170,0.273,30,24.45918367,Hefty,,,,,,
Duffy Dyer,R,72,187,0.221,30,25.43113426,Hefty,,,,,,
Ed Goodson,L,75,180,0.26,30,22.56,Compact,,,,,,
Steve Brye,R,72,190,0.258,30,25.83912037,Hefty,,,,,,
Jerry Hairston,B,70,170,0.258,30,24.45918367,Hefty,,,,,,
Jim Gosger,L,71,185,0.226,30,25.87284269,Hefty,,,,,,
Len Matuszek,L,74,190,0.234,30,24.46128561,Hefty,,,,,,
Pete Mackanin,R,74,190,0.226,30,24.46128561,Hefty,,,,,,
Dave Rader,L,71,165,0.257,30,23.07577862,Compact,,,,,,
Bobby Wine,R,73,187,0.215,30,24.73916307,Hefty,,,,,,
Paul Householder,B,72,180,0.236,29,24.47916667,Hefty,,,,,,
Vic Correll,R,70,185,0.229,29,26.61734694,Hefty,,,,,,
Larry Biittner,L,74,205,0.273,29,26.39243974,Hefty,,,,,,
Charlie James,R,73,195,0.255,29,25.79752299,Hefty,,,,,,
Rey Quinones,R,71,160,0.243,29,22.3765126,Lanky,,,,,,
Joe Charboneau,R,74,205,0.266,29,26.39243974,Hefty,,,,,,
Mike Ryan,R,74,205,0.193,28,26.39243974,Hefty,,,,,,
Danny Walton,R,72,195,0.223,28,26.51909722,Hefty,,,,,,
Coco Laboy,R,70,165,0.233,28,23.73979592,Compact,,,,,,
Billy Grabarkewitz,R,70,165,0.236,28,23.73979592,Compact,,,,,,
Mike Anderson,R,74,200,0.246,28,25.74872169,Hefty,,,,,,
Rick Miller,L,72,175,0.269,28,23.79918981,Compact,,,,,,
Joe Nolan,L,71,175,0.263,27,24.47431065,Hefty,,,,,,
Kurt Bevacqua,R,72,180,0.236,27,24.47916667,Hefty,,,,,,
Horace Clarke,B,69,170,0.256,27,25.17328292,Hefty,,,,,,
Mike Tyson,R,69,170,0.241,27,25.17328292,Hefty,,,,,,
U L Washington,B,71,175,0.251,27,24.47431065,Hefty,,,,,,
George Vukovich,L,72,198,0.268,27,26.92708333,Hefty,,,,,,
Bob Kearney,R,72,190,0.233,27,25.83912037,Hefty,,,,,,
Dick Davis,R,75,190,0.265,27,23.81333333,Compact,,,,,,
Chris Bando,B,72,195,0.227,27,26.51909722,Hefty,,,,,,
Pete LaCock,L,74,200,0.257,27,25.74872169,Hefty,,,,,,
Jerry McNertney,R,72,180,0.237,27,24.47916667,Hefty,,,,,,
Felix Torres,R,71,165,0.254,27,23.07577862,Compact,,,,,,
Len Randle,B,70,169,0.257,27,24.31530612,Hefty,,,,,,
Jim Traber,L,72,194,0.227,27,26.38310185,Hefty,,,,,,
Andres Mora,R,72,180,0.223,27,24.47916667,Hefty,,,,,,
Manny Jimenez,L,73,185,0.272,26,24.47457309,Hefty,,,,,,
Mike Hershberger,R,70,175,0.252,26,25.17857143,Hefty,,,,,,
Bobby Brown,B,74,190,0.245,26,24.46128561,Hefty,,,,,,
Bruce Bochy,R,75,205,0.239,26,25.69333333,Hefty,,,,,,
Jose Morales,R,71,187,0.287,26,26.1525491,Hefty,,,,,,
Gene Richards,L,72,175,0.29,26,23.79918981,Compact,,,,,,
Ron Woods,R,70,168,0.233,26,24.17142857,Hefty,,,,,,
John Boccabella,R,73,195,0.219,26,25.79752299,Hefty,,,,,,
Jesse Gonder,L,70,180,0.251,26,25.89795918,Hefty,,,,,,
Bob Coluccio,R,71,183,0.22,26,25.59313628,Hefty,,,,,,
Frank Duffy,R,73,180,0.232,26,23.81309814,Compact,,,,,,
Jake Gibbs,L,72,180,0.233,25,24.47916667,Hefty,,,,,,
Mike de la Hoz,R,71,175,0.251,25,24.47431065,Hefty,,,,,,
Lenn Sakata,R,69,160,0.23,25,23.69250158,Compact,,,,,,
Tim Foli,R,72,179,0.251,25,24.3431713,Hefty,,,,,,
Curt Motton,R,68,164,0.213,25,25.00432526,Hefty,,,,,,
Bill Nahorodny,R,74,200,0.241,25,25.74872169,Hefty,,,,,,
Jerry Moses,R,75,210,0.251,25,26.32,Hefty,,,,,,
Mark Brouhard,R,73,210,0.259,25,27.78194783,Hefty,,,,,,
Gail Hopkins,L,70,198,0.266,25,28.4877551,Hefty,,,,,,
Syd O'Brien,R,73,185,0.23,24,24.47457309,Hefty,,,,,,
Steve Whitaker,L,72,180,0.23,24,24.47916667,Hefty,,,,,,
Ken Gerhart,R,72,190,0.221,24,25.83912037,Hefty,,,,,,
Duane Walker,L,72,185,0.229,24,25.15914352,Hefty,,,,,,
Gary Gray,R,72,187,0.24,24,25.43113426,Hefty,,,,,,
Eddie Leon,R,72,170,0.236,24,23.11921296,Compact,,,,,,
Hal King,L,73,200,0.214,24,26.45899794,Hefty,,,,,,
Norm Miller,L,70,185,0.238,24,26.61734694,Hefty,,,,,,
Bob Chance,L,74,196,0.261,24,25.23374726,Hefty,,,,,,
Steve Ontiveros,B,72,185,0.274,24,25.15914352,Hefty,,,,,,
Gary Sutherland,R,72,185,0.243,24,25.15914352,Hefty,,,,,,
Chuck Schilling,R,70,160,0.239,23,23.02040816,Compact,,,,,,
Duane Josephson,R,72,190,0.258,23,25.83912037,Hefty,,,,,,
Bob Montgomery,R,73,195,0.258,23,25.79752299,Hefty,,,,,,
Ted Sizemore,R,70,165,0.262,23,23.73979592,Compact,,,,,,
Bob Dernier,R,72,160,0.255,23,21.75925926,Lanky,,,,,,
Alex Trevino,R,70,165,0.249,23,23.73979592,Compact,,,,,,
Mike Brown,R,74,195,0.265,23,25.10500365,Hefty,,,,,,
Lyman Bostock,L,73,180,0.311,23,23.81309814,Compact,,,,,,
Julio Cruz,B,69,165,0.237,23,24.43289225,Hefty,,,,,,
Glenn Hoffman,R,73,175,0.242,23,23.15162319,Compact,,,,,,
Jerry Buchek,R,71,185,0.22,22,25.87284269,Hefty,,,,,,
Johnny Lewis,L,73,189,0.227,22,25.00375305,Hefty,,,,,,
Angel Mangual,R,70,178,0.245,22,25.61020408,Hefty,,,,,,
Roger Freed,R,72,190,0.245,22,25.83912037,Hefty,,,,,,
Tom Hutton,L,71,180,0.248,22,25.17357667,Hefty,,,,,,
Jack Hiatt,R,74,190,0.251,22,24.46128561,Hefty,,,,,,
Nelson Mathews,R,76,195,0.223,22,23.80107341,Compact,,,,,,
Felix Millan,R,71,172,0.279,22,24.05475104,Hefty,,,,,,
Johnnie LeMaster,R,74,165,0.222,22,21.2426954,Lanky,,,,,,
Tom Egan,R,76,218,0.2,22,26.6083795,Hefty,,,,,,
Reid Nichols,R,71,165,0.266,22,23.07577862,Compact,,,,,,
Marty Perez,R,71,160,0.246,22,22.3765126,Lanky,,,,,,
Glenn Beckert,R,73,190,0.283,22,25.13604804,Hefty,,,,,,
Ivan DeJesus,R,71,175,0.254,21,24.47431065,Hefty,,,,,,
Tom Satriano,L,73,185,0.225,21,24.47457309,Hefty,,,,,,
Dave McKay,B,73,195,0.229,21,25.79752299,Hefty,,,,,,
Dave Cash,R,71,170,0.283,21,23.77504463,Compact,,,,,,
Jerry White,B,70,164,0.253,21,23.59591837,Compact,,,,,,
Bobby Mitchell,R,75,185,0.235,21,23.18666667,Compact,,,,,,
Jerry Narron,L,75,205,0.211,21,25.69333333,Hefty,,,,,,
Jim Wohlford,R,71,175,0.26,21,24.47431065,Hefty,,,,,,
Biff Pocoroba,B,70,175,0.257,21,25.17857143,Hefty,,,,,,
John Wathan,R,74,205,0.262,21,26.39243974,Hefty,,,,,,
Joe Gaines,R,73,190,0.241,21,25.13604804,Hefty,,,,,,
Hal Breeden,R,74,200,0.243,21,25.74872169,Hefty,,,,,,
Dick Nen,L,74,200,0.224,21,25.74872169,Hefty,,,,,,
Steve Lombardozzi,R,72,175,0.233,20,23.79918981,Compact,,,,,,
Steve Swisher,R,74,205,0.216,20,26.39243974,Hefty,,,,,,
Chuck Hiller,L,71,170,0.243,20,23.77504463,Compact,,,,,,
Mark Belanger,R,73,170,0.228,20,22.49014825,Lanky,,,,,,
Carmen Fanzone,R,72,200,0.224,20,27.19907407,Hefty,,,,,,
Larvell Blanks,R,68,167,0.253,20,25.46172145,Hefty,,,,,,
Ike Brown,R,72,190,0.256,20,25.83912037,Hefty,,,,,,
Billy North,B,71,185,0.261,20,25.87284269,Hefty,,,,,,
Rich McKinney,R,71,185,0.225,20,25.87284269,Hefty,,,,,,
Bob Jones,L,74,195,0.221,20,25.10500365,Hefty,,,,,,
Fran Healy,R,77,220,0.25,20,26.15955473,Hefty,,,,,,
Thad Bosley,L,75,175,0.272,20,21.93333333,Lanky,,,,,,
Dave Nelson,R,70,160,0.244,20,23.02040816,Compact,,,,,,
Rick Renick,R,72,188,0.221,20,25.56712963,Hefty,,,,,,
Dave Campbell,R,73,180,0.213,20,23.81309814,Compact,,,,,,
Ron Washington,R,71,155,0.261,20,21.67724658,Lanky,,,,,,
Garth Iorg,R,71,170,0.258,20,23.77504463,Compact,,,,,,
Doug Frobel,L,76,196,0.201,20,23.92313019,Compact,,,,,,
Ron Hodges,L,73,185,0.24,19,24.47457309,Hefty,,,,,,
Gary Allenson,R,71,185,0.221,19,25.87284269,Hefty,,,,,,
Bobby Clark,R,72,190,0.239,19,25.83912037,Hefty,,,,,,
Jim Holt,L,72,180,0.265,19,24.47916667,Hefty,,,,,,
Bill Voss,L,74,160,0.227,19,20.59897736,Lanky,,,,,,
Cap Peterson,R,74,195,0.23,19,25.10500365,Hefty,,,,,,
Alan Bannister,R,71,170,0.27,19,23.77504463,Compact,,,,,,
Hector Torres,R,72,175,0.216,18,23.79918981,Compact,,,,,,
Elliott Maddox,R,71,180,0.261,18,25.17357667,Hefty,,,,,,
Willie Norwood,R,72,185,0.242,18,25.15914352,Hefty,,,,,,
Johnny Jeter,R,73,180,0.244,18,23.81309814,Compact,,,,,,
Chris Cannizzaro,R,72,190,0.235,18,25.83912037,Hefty,,,,,,
Doug Camilli,R,71,195,0.199,18,27.27137473,Hefty,,,,,,
Jim Price,R,72,192,0.214,18,26.11111111,Hefty,,,,,,
Rudy Law,L,73,165,0.271,18,21.8286733,Lanky,,,,,,
Bruce Benedict,R,73,175,0.242,18,23.15162319,Compact,,,,,,
Harry Spilman,L,73,180,0.237,18,23.81309814,Compact,,,,,,
Rick Leach,L,73,180,0.268,18,23.81309814,Compact,,,,,,
Ted Ford,R,70,180,0.219,17,25.89795918,Hefty,,,,,,
Tony Scott,B,72,164,0.249,17,22.30324074,Lanky,,,,,,
Billy Smith,B,74,185,0.23,17,23.81756757,Compact,,,,,,
Rick Bosetti,R,71,185,0.25,17,25.87284269,Hefty,,,,,,
Ray Webster,L,72,185,0.244,17,25.15914352,Hefty,,,,,,
Fernando Gonzalez,R,70,165,0.235,17,23.73979592,Compact,,,,,,
Rob Picciolo,R,74,185,0.234,17,23.81756757,Compact,,,,,,
Chuck Harrison,R,70,185,0.238,17,26.61734694,Hefty,,,,,,
Hosken Powell,L,73,175,0.259,17,23.15162319,Compact,,,,,,
Ron Roenicke,B,72,180,0.238,17,24.47916667,Hefty,,,,,,
Doug Ault,R,75,200,0.236,17,25.06666667,Hefty,,,,,,
Bob Brower,R,71,185,0.242,17,25.87284269,Hefty,,,,,,
Denny Doyle,L,69,175,0.25,16,25.9136736,Hefty,,,,,,
Wayne Comer,R,70,175,0.229,16,25.17857143,Hefty,,,,,,
Dick Howser,R,68,155,0.248,16,23.63213668,Compact,,,,,,
Jim Nettles,L,72,186,0.22,16,25.29513889,Hefty,,,,,,
Glenn Borgmann,R,76,210,0.229,16,25.63192521,Hefty,,,,,,
Dick Billings,R,73,195,0.227,16,25.79752299,Hefty,,,,,,
Steve Huntz,B,73,204,0.206,16,26.98817789,Hefty,,,,,,
Ned Yost,R,73,190,0.212,16,25.13604804,Hefty,,,,,,
Dave Marshall,L,73,182,0.246,16,24.07768812,Hefty,,,,,,
Joe Wallis,B,71,180,0.244,16,25.17357667,Hefty,,,,,,
Terry Francona,L,73,190,0.274,16,25.13604804,Hefty,,,,,,
Pepe Mangual,R,70,157,0.242,16,22.58877551,Compact,,,,,,
Ellie Rodriguez,R,71,185,0.245,16,25.87284269,Hefty,,,,,,
Rick Wise,R,73,180,0.195,15,23.81309814,Compact,,,,,,
Ray Oyler,R,71,165,0.175,15,23.07577862,Compact,,,,,,
Dick Simpson,R,76,176,0.207,15,21.48199446,Lanky,,,,,,
Dave Chalk,R,70,175,0.252,15,25.17857143,Hefty,,,,,,
Danny Thompson,R,72,183,0.248,15,24.88715278,Hefty,,,,,,
Larry Bowa,B,70,155,0.26,15,22.30102041,Lanky,,,,,,
Jerry May,R,74,190,0.234,15,24.46128561,Hefty,,,,,,
Doc Edwards,R,74,215,0.238,15,27.67987582,Hefty,,,,,,
Wayne Krenchicki,L,73,180,0.266,15,23.81309814,Compact,,,,,,
Don Leppert,R,74,220,0.229,15,28.32359386,Hefty,,,,,,
Daryl Sconiers,L,74,185,0.265,15,23.81756757,Compact,,,,,,
Gene Michael,B,74,183,0.229,15,23.56008035,Compact,,,,,,
Johnny Oates,L,71,188,0.25,14,26.2924023,Hefty,,,,,,
Vern Fuller,R,73,170,0.232,14,22.49014825,Lanky,,,,,,
Tim Harkness,L,74,182,0.235,14,23.43133674,Compact,,,,,,
Mickey Klutts,R,71,170,0.241,14,23.77504463,Compact,,,,,,
John Hale,L,74,195,0.201,14,25.10500365,Hefty,,,,,,
Don Kessinger,B,73,170,0.252,14,22.49014825,Lanky,,,,,,
Bob Molinaro,L,72,190,0.264,14,25.83912037,Hefty,,,,,,
Tom Veryzer,R,73,175,0.241,14,23.15162319,Compact,,,,,,
Dane Iorg,L,72,180,0.276,14,24.47916667,Hefty,,,,,,
Ken Retzer,L,72,185,0.264,14,25.15914352,Hefty,,,,,,
Phil Gagliano,R,73,180,0.238,14,23.81309814,Compact,,,,,,
Paul Popovich,B,72,175,0.233,14,23.79918981,Compact,,,,,,
Bob Uecker,R,73,190,0.2,14,25.13604804,Hefty,,,,,,
Dave Edwards,R,72,170,0.237,14,23.11921296,Compact,,,,,,
Greg Pryor,R,72,180,0.25,14,24.47916667,Hefty,,,,,,
Ed Stroud,L,71,180,0.237,14,25.17357667,Hefty,,,,,,
Ken Hubbs,R,74,175,0.247,14,22.53013148,Compact,,,,,,
Rod Gilbreath,R,74,180,0.248,14,23.17384953,Compact,,,,,,
Jim Beauchamp,R,74,190,0.231,14,24.46128561,Hefty,,,,,,
Bubba Morton,R,70,175,0.267,14,25.17857143,Hefty,,,,,,
Darrel Chaney,B,74,188,0.217,14,24.20379839,Hefty,,,,,,
Bill Plummer,R,73,190,0.188,14,25.13604804,Hefty,,,,,,
Ted Kubiak,B,72,175,0.231,13,23.79918981,Compact,,,,,,
Gary Woods,R,74,185,0.243,13,23.81756757,Compact,,,,,,
Kevin Bell,R,72,195,0.222,13,26.51909722,Hefty,,,,,,
Danny Goodwin,L,73,195,0.236,13,25.79752299,Hefty,,,,,,
Fergie Jenkins,R,77,205,0.165,13,24.37594873,Hefty,,,,,,
Jim Anderson,R,72,170,0.218,13,23.11921296,Compact,,,,,,
Richie Scheinblum,B,73,180,0.263,13,23.81309814,Compact,,,,,,
Roberto Pena,R,68,170,0.245,13,25.91911765,Hefty,,,,,,
Rafael Santana,R,73,165,0.246,13,21.8286733,Lanky,,,,,,
Tommie Aaron,R,75,190,0.229,13,23.81333333,Compact,,,,,,
Steve Dillard,R,73,180,0.243,13,23.81309814,Compact,,,,,,
Sandy Alomar,B,69,140,0.245,13,20.73093888,Lanky,,,,,,
Mike Fiore,L,72,175,0.227,13,23.79918981,Compact,,,,,,
Tito Landrum,R,71,175,0.249,13,24.47431065,Hefty,,,,,,
Steve Carlton,L,76,210,0.201,13,25.63192521,Hefty,,,,,,
Vic Harris,B,71,165,0.217,13,23.07577862,Compact,,,,,,
Rick Joseph,R,73,192,0.243,13,25.40063802,Hefty,,,,,,
Bob Burda,L,71,174,0.224,13,24.33445745,Hefty,,,,,,
Tom O'Malley,L,72,180,0.256,13,24.47916667,Hefty,,,,,,
Tommie Reynolds,R,74,190,0.226,12,24.46128561,Hefty,,,,,,
Garry Hancock,L,72,175,0.247,12,23.79918981,Compact,,,,,,
Larry Haney,R,74,195,0.215,12,25.10500365,Hefty,,,,,,
Larry Cox,R,70,178,0.221,12,25.61020408,Hefty,,,,,,
Ron Pruitt,R,72,185,0.269,12,25.15914352,Hefty,,,,,,
Jim Mason,L,74,185,0.203,12,23.81756757,Compact,,,,,,
Dick Phillips,L,72,180,0.229,12,24.47916667,Hefty,,,,,,
Jackie Hernandez,R,71,165,0.208,12,23.07577862,Compact,,,,,,
Dan Briggs,L,72,180,0.195,12,24.47916667,Hefty,,,,,,
Alan Knicely,R,72,190,0.213,12,25.83912037,Hefty,,,,,,
Tim Corcoran,L,71,175,0.27,12,24.47431065,Hefty,,,,,,
Tom Seaver,R,73,195,0.154,12,25.79752299,Hefty,,,,,,
Rich Coggins,L,68,170,0.265,12,25.91911765,Hefty,,,,,,
Kiko Garcia,R,71,180,0.239,12,25.17357667,Hefty,,,,,,
John Stephenson,L,71,180,0.216,12,25.17357667,Hefty,,,,,,
Doug Clemens,L,72,180,0.229,12,24.47916667,Hefty,,,,,,
Sonny Siebert,R,75,190,0.173,12,23.81333333,Compact,,,,,,
Bob Forsch,R,76,200,0.213,12,24.41135734,Hefty,,,,,,
Bobby Valentine,R,70,189,0.26,12,27.19285714,Hefty,,,,,,
Larry Harlow,L,74,185,0.248,12,23.81756757,Compact,,,,,,
Brian Asselstine,L,73,175,0.254,12,23.15162319,Compact,,,,,,
Jeff Stone,L,72,175,0.277,11,23.79918981,Compact,,,,,,
Mike Phillips,L,72,170,0.24,11,23.11921296,Compact,,,,,,
Howie Goss,R,76,204,0.216,11,24.89958449,Hefty,,,,,,
Rufino Linares,R,72,170,0.27,11,23.11921296,Compact,,,,,,
Al Gallagher,R,72,180,0.263,11,24.47916667,Hefty,,,,,,
Barbaro Garbey,R,70,170,0.267,11,24.45918367,Hefty,,,,,,
Ken Walters,R,73,180,0.231,11,23.81309814,Compact,,,,,,
Tony Cloninger,R,72,210,0.192,11,28.55902778,Hefty,,,,,,
Larry Milbourne,B,72,161,0.254,11,21.89525463,Lanky,,,,,,
Phil Linz,R,73,180,0.235,11,23.81309814,Compact,,,,,,
Jimmie Schaffer,R,69,170,0.223,11,25.17328292,Hefty,,,,,,
Steve Nicosia,R,70,185,0.248,11,26.61734694,Hefty,,,,,,
Dick Bertell,R,72,200,0.25,10,27.19907407,Hefty,,,,,,
Bruce Boisclair,L,74,185,0.263,10,23.81756757,Compact,,,,,,
Bombo Rivera,R,70,187,0.265,10,26.90510204,Hefty,,,,,,
Ted Cox,R,75,195,0.245,10,24.44,Hefty,,,,,,
Paul Dade,R,73,185,0.27,10,24.47457309,Hefty,,,,,,
Fred Stanley,R,70,165,0.216,10,23.73979592,Compact,,,,,,
Brian Giles,R,73,165,0.228,10,21.8286733,Lanky,,,,,,
J.R. Richard,R,80,222,0.168,10,24.4546875,Hefty,,,,,,
Dave Rosello,R,71,160,0.236,10,22.3765126,Lanky,,,,,,
Carl Taylor,R,74,200,0.266,10,25.74872169,Hefty,,,,,,
Ron Davis,R,72,175,0.233,10,23.79918981,Compact,,,,,,
Tom Poquette,L,70,175,0.268,10,25.17857143,Hefty,,,,,,
Bobby Cox,R,71,180,0.225,9,25.17357667,Hefty,,,,,,
Jim Lyttle,L,72,180,0.248,9,24.47916667,Hefty,,,,,,
Gene Locklear,L,70,165,0.274,9,23.73979592,Compact,,,,,,
Jack Heidemann,R,72,175,0.211,9,23.79918981,Compact,,,,,,
Tim Flannery,L,71,175,0.255,9,24.47431065,Hefty,,,,,,
Rick Rhoden,R,75,195,0.238,9,24.44,Hefty,,,,,,
Tim Cullen,R,73,185,0.22,9,24.47457309,Hefty,,,,,,
Joe Keough,L,72,185,0.246,9,25.15914352,Hefty,,,,,,
Jim Pankovits,R,70,170,0.25,9,24.45918367,Hefty,,,,,,
Joe Simpson,L,75,175,0.242,9,21.93333333,Lanky,,,,,,
George Smith,R,70,170,0.205,9,24.45918367,Hefty,,,,,,
Rick Auerbach,R,72,165,0.22,9,22.43923611,Lanky,,,,,,
Rick Sofield,L,73,195,0.243,9,25.79752299,Hefty,,,,,,
Bob Bailor,R,71,170,0.264,9,23.77504463,Compact,,,,,,
Bob Barton,R,72,175,0.226,9,23.79918981,Compact,,,,,,
Dave McNally,R,71,185,0.133,9,25.87284269,Hefty,,,,,,
Wayne Tolleson,B,69,160,0.241,9,23.69250158,Compact,,,,,,
Bill Sharp,L,70,178,0.255,9,25.61020408,Hefty,,,,,,
Luis Melendez,R,72,165,0.248,9,22.43923611,Lanky,,,,,,
Pedro Gonzalez,R,72,176,0.244,8,23.93518519,Compact,,,,,,
Sal Butera,R,72,190,0.227,8,25.83912037,Hefty,,,,,,
Jimmy Stewart,B,72,165,0.237,8,22.43923611,Lanky,,,,,,
Boots Day,L,69,160,0.256,8,23.69250158,Compact,,,,,,
Domingo Ramos,R,70,154,0.24,8,22.15714286,Lanky,,,,,,
Phil Mankowski,L,72,180,0.264,8,24.47916667,Hefty,,,,,,
Bob Meacham,B,73,175,0.236,8,23.15162319,Compact,,,,,,
Hal Lanier,R,74,180,0.228,8,23.17384953,Compact,,,,,,
Dick Tracewski,R,71,160,0.213,8,22.3765126,Lanky,,,,,,
Steve Hovley,L,70,188,0.258,8,27.04897959,Hefty,,,,,,
Jeff Torborg,R,72,195,0.214,8,26.51909722,Hefty,,,,,,
Merritt Ranew,L,71,170,0.247,8,23.77504463,Compact,,,,,,
Russ Gibson,R,73,195,0.228,8,25.79752299,Hefty,,,,,,
Broderick Perkins,L,70,180,0.271,8,25.89795918,Hefty,,,,,,
Ed Romero,R,71,160,0.247,8,22.3765126,Lanky,,,,,,
Juan Bonilla,R,69,170,0.256,7,25.17328292,Hefty,,,,,,
Tony Muser,L,74,180,0.259,7,23.17384953,Compact,,,,,,
Jim Fairey,L,70,190,0.235,7,27.33673469,Hefty,,,,,,
Greg Gross,L,70,160,0.287,7,23.02040816,Compact,,,,,,
Junior Moore,R,71,185,0.264,7,25.87284269,Hefty,,,,,,
Dave Roberts,L,75,195,0.194,7,24.44,Hefty,,,,,,
Marv Breeding,R,72,175,0.25,7,23.79918981,Compact,,,,,,
Jim Norris,L,70,175,0.264,7,25.17857143,Hefty,,,,,,
Mel Stottlemyre,R,73,178,0.16,7,23.54850816,Compact,,,,,,
Bill Fahey,L,72,200,0.241,7,27.19907407,Hefty,,,,,,
Doug Flynn,R,71,165,0.238,7,23.07577862,Compact,,,,,,
Bud Harrelson,B,71,160,0.236,7,22.3765126,Lanky,,,,,,
Ted Martinez,R,72,165,0.24,7,22.43923611,Lanky,,,,,,
Stan Papi,R,72,170,0.218,7,23.11921296,Compact,,,,,,
Carl Morton,R,72,200,0.156,7,27.19907407,Hefty,,,,,,
Sonny Jackson,L,69,150,0.251,7,22.21172023,Lanky,,,,,,
Orlando Mercado,R,72,180,0.199,7,24.47916667,Hefty,,,,,,
Mario Guerrero,R,70,155,0.257,7,22.30102041,Lanky,,,,,,
Doug Griffin,R,72,160,0.245,7,21.75925926,Lanky,,,,,,
Jim Maloney,L,74,190,0.201,7,24.46128561,Hefty,,,,,,
Lynn Jones,R,69,175,0.252,7,25.9136736,Hefty,,,,,,
Al Weis,B,72,160,0.219,7,21.75925926,Lanky,,,,,,
Sandy Valdespino,L,68,170,0.23,7,25.91911765,Hefty,,,,,,
Don Hahn,R,73,180,0.236,7,23.81309814,Compact,,,,,,
Jim Rooker,R,72,195,0.201,7,26.51909722,Hefty,,,,,,
Jerry Kenney,L,73,170,0.237,7,22.49014825,Lanky,,,,,,
Curt Ford,L,70,150,0.245,7,21.58163265,Lanky,,,,,,
Phil Niekro,R,73,180,0.169,7,23.81309814,Compact,,,,,,
Jerry Remy,L,69,165,0.275,7,24.43289225,Hefty,,,,,,
Rod Kanehl,R,73,180,0.241,6,23.81309814,Compact,,,,,,
Frank Tepedino,L,71,185,0.241,6,25.87284269,Hefty,,,,,,
Brad Wellman,R,72,170,0.231,6,23.11921296,Compact,,,,,,
Dal Maxvill,R,71,157,0.217,6,21.95695299,Lanky,,,,,,
Rich Morales,R,71,170,0.195,6,23.77504463,Compact,,,,,,
Bob Davis,R,72,180,0.197,6,24.47916667,Hefty,,,,,,
Rick Sweet,B,73,200,0.234,6,26.45899794,Hefty,,,,,,
Terry Humphrey,R,75,185,0.211,6,23.18666667,Compact,,,,,,
Rich Chiles,L,71,170,0.254,6,23.77504463,Compact,,,,,,
Dave Hilton,R,71,191,0.213,6,26.71196191,Hefty,,,,,,
John Vukovich,R,73,187,0.161,6,24.73916307,Hefty,,,,,,
Bob Knepper,L,75,195,0.137,6,24.44,Hefty,,,,,,
Bobby Klaus,R,70,170,0.208,6,24.45918367,Hefty,,,,,,
Tucker Ashford,R,73,195,0.218,6,25.79752299,Hefty,,,,,,
Gaylord Perry,R,76,205,0.131,6,25.02164127,Hefty,,,,,,
Miguel Dilone,B,72,160,0.265,6,21.75925926,Lanky,,,,,,
Buddy Biancalana,B,71,160,0.205,6,22.3765126,Lanky,,,,,,
Ty Cline,L,72,170,0.238,6,23.11921296,Compact,,,,,,
