name,handedness,height,weight,avg,HR,BMI,Class,,,,,BMI Limits,
Duke Sims,L,74,197,0.239,100,25.36249087,Hefty,,,,,,
Bruce Bochte,L,75,195,0.282,100,24.44,Hefty,,,,,,
Johnny Grubb,L,75,175,0.278,99,21.93333333,Lanky,,,,,,
Ozzie Virgil,R,73,180,0.243,98,23.81309814,Compact,,,,,,
Pete Ward,L,73,185,0.254,98,24.47457309,Hefty,,,,,,
Butch Hobson,R,73,193,0.248,98,25.53293301,Hefty,,,,,,
Bernie Carbo,L,71,173,0.264,96,24.19460425,Hefty,,,,,,
Dave May,L,70,186,0.251,96,26.76122449,Hefty,,,,,,
Jim Sundberg,R,72,190,0.248,95,25.83912037,Hefty,,,,,,
Jerry Morales,R,70,155,0.259,95,22.30102041,Lanky,,,,,,
Mike Jorgensen,L,72,195,0.243,95,26.51909722,Hefty,,,,,,
Bob Oliver,R,75,205,0.256,94,25.69333333,Hefty,,,,,,
Don Buford,B,67,160,0.264,93,25.12809089,Hefty,,,,,,
Cleon Jones,R,72,185,0.281,93,25.15914352,Hefty,,,,,,
Lee Mazzilli,B,73,180,0.259,93,23.81309814,Compact,,,,,,
Rod Carew,L,72,170,0.328,92,23.11921296,Compact,,,,,,
Lee Lacy,R,73,175,0.286,91,23.15162319,Compact,,,,,,
Cito Gaston,R,75,190,0.256,91,23.81333333,Compact,,,,,,
Mike Davis,L,74,175,0.259,91,22.53013148,Compact,,,,,,
Ken Landreaux,L,70,165,0.268,91,23.73979592,Compact,,,,,,
Bob Brenly,R,74,210,0.247,91,27.03615778,Hefty,,,,,,
Mike Lum,L,72,180,0.247,90,24.47916667,Hefty,,,,,,
Carlos May,L,71,200,0.274,90,27.97064075,Hefty,,,,,,
Alan Ashby,B,74,185,0.245,90,23.81756757,Compact,,,,,,
Bo Diaz,R,71,185,0.255,87,25.87284269,Hefty,,,,,,
Del Unser,L,73,180,0.258,87,23.81309814,Compact,,,,,,
John Wockenfuss,R,72,190,0.262,86,25.83912037,Hefty,,,,,,
Willie Crawford,L,73,197,0.268,86,26.06211297,Hefty,,,,,,
Tom Paciorek,R,76,215,0.282,86,26.24220914,Hefty,,,,,,
Bobby Tolan,L,71,170,0.265,86,23.77504463,Compact,,,,,,
Dan Meyer,L,71,180,0.253,86,25.17357667,Hefty,,,,,,
Ed Charles,R,70,170,0.263,86,24.45918367,Hefty,,,,,,
Jerry Martin,R,73,195,0.251,85,25.79752299,Hefty,,,,,,
Ed Kirkpatrick,L,71,195,0.238,85,27.27137473,Hefty,,,,,,
Gates Brown,L,71,220,0.257,84,30.76770482,Hefty,,,,,,
Ray Knight,R,73,185,0.271,84,24.47457309,Hefty,,,,,,
Bobby Darwin,R,74,190,0.251,83,24.46128561,Hefty,,,,,,
Roger Repoz,L,75,190,0.224,82,23.81333333,Compact,,,,,,
Randy Hundley,R,71,170,0.236,82,23.77504463,Compact,,,,,,
Mike Ivie,R,75,205,0.269,81,25.69333333,Hefty,,,,,,
John Bateman,R,75,210,0.23,81,26.32,Hefty,,,,,,
Johnny Edwards,L,76,220,0.242,81,26.85249307,Hefty,,,,,,
Ed Herrmann,L,73,195,0.24,80,25.79752299,Hefty,,,,,,
Dick Green,R,70,180,0.24,80,25.89795918,Hefty,,,,,,
Joel Youngblood,R,72,180,0.265,80,24.47916667,Hefty,,,,,,
Mike Hargrove,L,72,195,0.29,80,26.51909722,Hefty,,,,,,
Roy Howell,L,73,190,0.261,80,25.13604804,Hefty,,,,,,
Bob Tillman,R,76,205,0.232,79,25.02164127,Hefty,,,,,,
Juan Beniquez,R,71,150,0.274,79,20.97798056,Lanky,,,,,,
Bert Campaneris,R,70,160,0.259,79,23.02040816,Compact,,,,,,
Julian Javier,R,73,175,0.257,78,23.15162319,Compact,,,,,,
Otto Velez,R,72,170,0.251,78,23.11921296,Compact,,,,,,
Alex Johnson,R,72,205,0.288,78,27.87905093,Hefty,,,,,,
Phil Bradley,R,72,185,0.286,78,25.15914352,Hefty,,,,,,
Leon Roberts,R,75,200,0.267,78,25.06666667,Hefty,,,,,,
Rich Rollins,R,70,185,0.269,77,26.61734694,Hefty,,,,,,
Leroy Stanton,R,73,195,0.244,77,25.79752299,Hefty,,,,,,
Milt May,L,72,190,0.263,77,25.83912037,Hefty,,,,,,
Tim Laudner,R,75,212,0.225,77,26.57066667,Hefty,,,,,,
Jim Dwyer,L,70,165,0.26,77,23.73979592,Compact,,,,,,
Don Wert,R,70,162,0.242,77,23.30816327,Compact,,,,,,
George Mitterwald,R,74,195,0.236,76,25.10500365,Hefty,,,,,,
Tony Horton,R,75,210,0.268,76,26.32,Hefty,,,,,,
Pat Kelly,L,73,185,0.264,76,24.47457309,Hefty,,,,,,
Tommy McCraw,L,72,183,0.246,75,24.88715278,Hefty,,,,,,
Ralph Garr,L,71,185,0.306,75,25.87284269,Hefty,,,,,,
Jim Lefebvre,B,72,180,0.251,74,24.47916667,Hefty,,,,,,
Bernie Allen,L,72,175,0.239,73,23.79918981,Compact,,,,,,
Andy Kosco,R,75,205,0.236,73,25.69333333,Hefty,,,,,,
Ron Swoboda,R,74,195,0.242,73,25.10500365,Hefty,,,,,,
Mitchell Page,L,74,205,0.266,72,26.39243974,Hefty,,,,,,
Mike Young,B,74,195,0.247,72,25.10500365,Hefty,,,,,,
Tom Brookens,R,70,165,0.246,71,23.73979592,Compact,,,,,,
Glenn Hubbard,R,69,150,0.244,70,22.21172023,Lanky,,,,,,
Jerry Mumphrey,B,74,185,0.289,70,23.81756757,Compact,,,,,,
Charley Smith,R,73,170,0.239,69,22.49014825,Lanky,,,,,,
John Ellis,R,74,225,0.262,69,28.96731191,Hefty,,,,,,
Ken Reitz,R,72,180,0.26,68,24.47916667,Hefty,,,,,,
Steve Henderson,R,74,190,0.28,68,24.46128561,Hefty,,,,,,
Art Shamsky,L,73,168,0.253,68,22.22555827,Lanky,,,,,,
Mike Shannon,R,75,195,0.255,68,24.44,Hefty,,,,,,
Floyd Robinson,L,69,175,0.283,67,25.9136736,Hefty,,,,,,
Merv Rettenmund,R,70,190,0.271,66,27.33673469,Hefty,,,,,,
Dick Dietz,R,73,195,0.261,66,25.79752299,Hefty,,,,,,
Mike Andrews,R,75,195,0.258,66,24.44,Hefty,,,,,,
Danny Cater,R,72,170,0.276,66,23.11921296,Compact,,,,,,
Joe Lahoud,L,73,198,0.223,65,26.19440796,Hefty,,,,,,
Charlie Spikes,R,75,215,0.246,65,26.94666667,Hefty,,,,,,
Lou Clinton,R,73,185,0.247,65,24.47457309,Hefty,,,,,,
Manny Sanguillen,R,72,193,0.296,65,26.24710648,Hefty,,,,,,
Tom Grieve,R,74,190,0.249,65,24.46128561,Hefty,,,,,,
Butch Wynegar,B,73,190,0.255,65,25.13604804,Hefty,,,,,,
Lamar Johnson,R,74,215,0.287,64,27.67987582,Hefty,,,,,,
Wes Parker,B,73,180,0.267,64,23.81309814,Compact,,,,,,
Jeff Newman,R,74,215,0.224,63,27.67987582,Hefty,,,,,,
Pat Putnam,L,72,205,0.255,63,27.87905093,Hefty,,,,,,
Bake McBride,L,74,190,0.299,63,24.46128561,Hefty,,,,,,
Ellie Hendricks,L,73,175,0.22,62,23.15162319,Compact,,,,,,
Dave Revering,L,76,210,0.265,62,25.63192521,Hefty,,,,,,
Wayne Garrett,L,71,175,0.239,61,24.47431065,Hefty,,,,,,
Gary Thomasson,L,73,180,0.249,61,23.81309814,Compact,,,,,,
Mickey Rivers,L,70,165,0.295,61,23.73979592,Compact,,,,,,
Ray Fosse,R,74,215,0.256,61,27.67987582,Hefty,,,,,,
Bill Schroeder,R,74,200,0.24,61,25.74872169,Hefty,,,,,,
Dave Nicholson,R,74,215,0.212,61,27.67987582,Hefty,,,,,,
Manny Trillo,R,73,150,0.263,61,19.84424845,Lanky,,,,,,
Ed Brinkman,R,72,170,0.224,60,23.11921296,Compact,,,,,,
Enos Cabell,R,76,170,0.277,60,20.74965374,Lanky,,,,,,
Adolfo Phillips,R,73,175,0.247,59,23.15162319,Compact,,,,,,
Bill Sudakis,B,73,190,0.234,59,25.13604804,Hefty,,,,,,
Ron LeFlore,R,72,200,0.288,59,27.19907407,Hefty,,,,,,
Buck Martinez,R,70,190,0.225,58,27.33673469,Hefty,,,,,,
Ken Berry,R,72,175,0.255,58,23.79918981,Compact,,,,,,
Joe Foy,R,72,215,0.248,58,29.23900463,Hefty,,,,,,
Paul Schaal,R,71,165,0.244,57,23.07577862,Compact,,,,,,
Barry Foote,R,75,205,0.23,57,25.69333333,Hefty,,,,,,
Rick Manning,L,73,180,0.257,56,23.81309814,Compact,,,,,,
Bobby Knoop,R,73,170,0.236,56,22.49014825,Lanky,,,,,,
Ron Jackson,R,72,200,0.259,56,27.19907407,Hefty,,,,,,
Barry Bonnell,R,75,190,0.272,56,23.81333333,Compact,,,,,,
Gene Alley,R,70,160,0.254,55,23.02040816,Compact,,,,,,
Gary Alexander,R,74,195,0.23,55,25.10500365,Hefty,,,,,,
Clay Dalrymple,L,72,190,0.233,55,25.83912037,Hefty,,,,,,
Cookie Rojas,R,70,160,0.263,54,23.02040816,Compact,,,,,,
